DATE,TIMESTAMP,XLAT,XLONG,HGT,RAINC,RAINNC,T_500hPa,T_700hPa,T_850hPa,QVAPOR_500,QVAPOR_700,QVAPOR_850,QCLOUD_500,QCLOUD_700,QCLOUD_850,QRAIN_500,QRAIN_700,QRAIN_850,QICE_500,QICE_700,QICE_850,QSNOW_500,QSNOW_700,QSNOW_850,QGRAUP_500,QGRAUP_700,QGRAUP_850,PRECIPITACION,LLUVIA
2015-02-03[00:00:00],1422918016.00000000,41.41069794,-2.30871582,1009.75207520,0.00000000,0.00000000,245.93142700,264.90286255,274.00222778,0.00043846,0.00229626,0.00471662,0.00000000,0.00000000,0.00006501,0.00000000,0.00000000,0.00000309,0.00000000,0.00000018,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.09999990,1
2015-02-03[00:00:00],1422918016.00000000,41.41038513,-2.27273560,976.69384766,0.00000000,0.00000000,245.86856079,264.94558716,274.00573730,0.00044866,0.00227501,0.00471126,0.00000000,0.00000000,0.00004779,0.00000000,0.00000000,0.00000224,0.00000000,0.00000019,0.00000000,0.00000000,0.00000000,0.00000006,0.00000000,0.00000000,-0.00000000,1.97599995,1
2015-02-03[00:00:00],1422918016.00000000,41.41006470,-2.23678589,947.69567871,0.00000000,0.00000000,245.83409119,264.91766357,273.99383545,0.00045587,0.00229126,0.00470418,0.00000000,0.00000000,0.00003646,0.00000000,0.00000000,0.00000123,0.00000000,0.00000019,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.85399997,1
2015-02-03[00:00:00],1422918016.00000000,41.40973663,-2.20080566,921.15441895,0.00000000,0.00000000,245.82893372,264.83898926,273.97125244,0.00046135,0.00233166,0.00469902,0.00000000,0.00000000,0.00003260,0.00000000,0.00000000,0.00000012,0.00000000,0.00000018,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.73500001,1
2015-02-03[00:00:00],1422918016.00000000,41.40939331,-2.16482544,897.29943848,0.00000000,0.00000000,245.83741760,264.72509766,273.94308472,0.00046627,0.00239199,0.00469329,0.00000000,0.00000000,0.00004082,0.00000000,0.00000000,0.00000022,0.00000000,0.00000015,0.00000000,0.00000004,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.61899996,1
2015-02-03[00:00:00],1422918016.00000000,41.40903473,-2.12887573,884.97241211,0.00000000,0.00000000,245.87149048,264.62649536,273.92263794,0.00046793,0.00244620,0.00469394,0.00000000,0.00000000,0.00004578,0.00000000,0.00000000,0.00000009,0.00000000,0.00000012,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,1.50100005,1
2015-02-03[00:00:00],1422918016.00000000,41.40867615,-2.09289551,884.44384766,0.00000000,0.00000000,245.91813660,264.53884888,273.90621948,0.00046796,0.00249885,0.00469957,0.00000000,0.00000000,0.00005872,0.00000000,0.00000000,0.00000007,0.00000000,0.00000010,0.00000000,0.00000000,0.00000000,0.00000008,0.00000000,0.00000000,0.00000000,1.00000000,1
2015-02-03[00:00:00],1422918016.00000000,41.40829086,-2.05694580,891.11047363,0.00000000,0.00000000,245.98651123,264.49215698,273.90820312,0.00046428,0.00253618,0.00470193,0.00000000,0.00000000,0.00007888,0.00000000,0.00000000,0.00000003,0.00000000,0.00000008,0.00000000,-0.00000000,0.00000002,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1
2015-02-03[00:00:00],1422918016.00000000,41.40790176,-2.02096558,891.91613770,0.00000000,0.00000000,246.03288269,264.47189331,273.90063477,0.00046380,0.00255864,0.00470374,0.00000000,0.00000000,0.00008594,0.00000000,0.00000000,0.00000003,0.00000000,0.00000007,0.00000000,0.00000017,0.00000001,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,1
2015-02-03[00:00:00],1422918016.00000000,41.40749741,-1.98498535,887.09936523,0.00000000,0.00000000,246.06178284,264.48437500,273.88928223,0.00046664,0.00256212,0.00470546,0.00000000,0.00000000,0.00008494,0.00000000,0.00000000,0.00000008,0.00000000,0.00000007,0.00000000,0.00000052,0.00000001,0.00000001,0.00000000,0.00000000,0.00000000,1.00000000,1
2015-02-03[00:00:00],1422918016.00000000,41.40708923,-1.94903564,874.86572266,0.00000000,0.00000000,246.07435608,264.53329468,273.87719727,0.00047383,0.00254918,0.00470814,0.00000000,0.00000000,0.00007521,0.00000000,0.00000000,0.00000015,0.00000000,0.00000008,0.00000000,0.00000025,0.00000010,0.00000003,0.00000000,0.00000000,0.00000000,1.00000000,1
2015-02-03[00:00:00],1422918016.00000000,41.40667725,-1.91305542,855.76721191,0.00000000,0.00000000,246.08489990,264.56567383,273.88003540,0.00048183,0.00253260,0.00469755,0.00000000,0.00000000,0.00006944,0.00000000,0.00000000,0.00000016,0.00000000,0.00000008,0.00000000,0.00000016,0.00000006,0.00000017,0.00000000,0.00000000,0.00000000,1.00000000,1
2015-02-03[00:00:00],1422918016.00000000,41.40623474,-1.87710571,830.25378418,0.00000000,0.00000000,246.07766724,264.58071899,273.88375854,0.00049132,0.00251654,0.00468789,0.00000000,0.00000000,0.00005813,0.00000000,0.00000000,0.00000015,0.00000000,0.00000007,0.00000000,0.00000018,0.00000035,0.00000030,0.00000000,0.00000000,0.00000001,1.00000000,1
2015-02-03[00:00:00],1422918016.00000000,41.40578461,-1.84112549,796.99627686,0.00000000,0.00000000,246.06759644,264.56695557,273.87500000,0.00049927,0.00249998,0.00468544,0.00000000,0.00000000,0.00003255,0.00000000,0.00000000,0.00000048,-0.00000000,0.00000003,0.00000000,0.00000008,0.00000337,0.00000058,0.00000000,0.00000000,0.00000000,1.00000000,1
2015-02-03[00:00:00],1422918016.00000000,41.40533066,-1.80517578,769.01293945,0.00000000,0.00000000,246.05412292,264.55130005,273.88992310,0.00051295,0.00251013,0.00467370,0.00000000,0.00000000,0.00001837,0.00000000,0.00000000,0.00000020,0.00000000,0.00000003,0.00000000,0.00000092,0.00000129,0.00000076,0.00000000,-0.00000000,0.00000005,1.00000000,1
2015-02-03[00:00:00],1422918016.00000000,41.40485001,-1.76919556,745.14788818,0.00000000,0.00000000,246.00630188,264.53329468,273.93838501,0.00053058,0.00253777,0.00466584,0.00000000,0.00000000,0.00001299,0.00000000,0.00000000,0.00000013,-0.00000000,0.00000007,0.00000000,0.00000209,0.00000267,0.00000076,0.00000000,0.00000000,0.00000011,0.00000000,0
2015-02-03[00:00:00],1422918016.00000000,41.40437698,-1.73324585,727.58209229,0.00000000,0.00000000,245.92977905,264.49084473,274.00177002,0.00055426,0.00259595,0.00465660,0.00000000,0.00000000,0.00000709,0.00000000,0.00000000,0.00000013,-0.00000000,0.00000018,0.00000000,0.00000308,0.00000467,0.00000073,0.00000000,0.00000000,0.00000008,0.00000000,0
2015-02-03[00:00:00],1422918016.00000000,41.40388107,-1.69726562,714.02044678,0.00000000,0.00000000,245.88534546,264.47695923,274.04977417,0.00057089,0.00263867,0.00464656,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000171,0.00000000,0.00000022,0.00000000,0.00000372,0.00001537,0.00000075,0.00000000,0.00000000,0.00000007,0.00000000,0
2015-02-03[00:00:00],1422918016.00000000,41.40337753,-1.66131592,705.32824707,0.00000000,0.00000000,245.87237549,264.47952271,274.06161499,0.00058181,0.00266738,0.00463400,0.00000000,0.00000003,0.00000000,0.00000000,0.00000000,0.00001251,0.00000038,0.00000021,0.00000000,0.00000729,0.00006191,0.00000089,0.00000000,0.00000005,0.00000023,0.00000000,0
2015-02-03[00:00:00],1422918016.00000000,41.40287018,-1.62536621,700.35803223,0.00000000,0.00000000,245.87179565,264.48907471,274.07794189,0.00058822,0.00269154,0.00460935,0.00000000,0.00000008,0.00000001,0.00000000,0.00000000,0.00003122,0.00000101,0.00000011,0.00000000,0.00001236,0.00014482,0.00000352,0.00000000,0.00000012,0.00000190,0.00000000,0
2015-02-03[00:00:00],1422918016.00000000,41.40233994,-1.58938599,701.56231689,0.00000000,0.00000000,245.89169312,264.43801880,274.08572388,0.00059129,0.00271631,0.00459247,0.00000000,0.00000008,0.00000002,0.00000000,0.00000000,0.00003922,0.00000113,0.00000006,0.00000000,0.00001860,0.00018285,0.00000347,0.00000000,0.00000016,0.00000195,0.00000000,0
2015-02-03[00:00:00],1422918016.00000000,41.40180206,-1.55343628,706.05694580,0.00000000,0.00000000,245.93103027,264.34518433,274.11227417,0.00058806,0.00272066,0.00456486,0.00000000,0.00000011,0.00000015,0.00000000,0.00000000,0.00003944,0.00000099,0.00000004,0.00000000,0.00002527,0.00016807,0.00000804,0.00000000,0.00000015,0.00000142,0.00000000,0
2015-02-03[00:00:00],1422918016.00000000,41.40126419,-1.51748657,715.48321533,0.00000000,0.00000000,245.99502563,264.20425415,274.13644409,0.00058253,0.00271656,0.00453788,0.00000000,0.00000016,0.00000067,0.00000000,0.00000000,0.00002649,0.00000024,0.00000005,0.00000000,0.00003452,0.00014062,0.00001695,0.00000000,0.00000011,0.00000050,0.00000000,0
2015-02-03[00:00:00],1422918016.00000000,41.40069199,-1.48150635,714.46362305,0.00000000,0.00000000,246.04573059,264.09020996,274.20254517,0.00057537,0.00270488,0.00450247,0.00000000,0.00000069,0.00000079,0.00000000,0.00000000,0.00001876,0.00000000,0.00000004,0.00000000,0.00003381,0.00013238,0.00002014,0.00000000,0.00000011,0.00000029,0.00000000,0
2015-02-03[00:00:00],1422918016.00000000,41.40012741,-1.44555664,700.22479248,0.00000000,0.00000000,246.09837341,263.98074341,274.34893799,0.00055226,0.00269717,0.00446103,0.00000000,0.00000225,0.00000042,0.00000000,0.00000000,0.00001464,0.00000000,0.00000004,0.00000000,0.00002786,0.00010755,0.00001998,0.00000000,0.00000010,0.00000031,0.00000000,0
2015-02-03[00:00:00],1422918016.00000000,41.39953995,-1.40960693,681.05084229,0.00000000,0.00000000,246.13423157,263.91183472,274.53515625,0.00052272,0.00268994,0.00444535,0.00000000,0.00000242,0.00000011,0.00000000,0.00000000,0.00001367,0.00000000,0.00000003,0.00000000,0.00001379,0.00008743,0.00001092,0.00000000,0.00000010,0.00000030,0.00000000,0
2015-02-03[00:00:00],1422918016.00000000,41.39894485,-1.37362671,660.43957520,0.00000000,0.00000000,246.17071533,263.82452393,274.69638062,0.00049107,0.00268107,0.00443249,0.00000000,0.00001055,0.00000000,0.00000000,0.00000000,0.00000802,0.00000000,0.00000003,0.00000000,0.00000557,0.00007678,0.00000578,0.00000000,0.00000008,0.00000011,0.00000000,0
